x,y,z,static_feasible,dynamic_feasible,static_index,dynamic_index,difference_index,worst_residual
-1.5,-2.5,2.5,0,0,0.0,0.0,0.0,34.95831133656763
-1.0,-2.5,2.5,0,0,0.0,0.0,0.0,17.835436190543188
-0.5,-2.5,2.5,0,0,0.0,0.0,0.0,20.130182099979198
0.0,-2.5,2.5,0,0,0.0,0.0,0.0,20.903905836050154
0.5,-2.5,2.5,0,0,0.0,0.0,0.0,20.130182099979198
1.0,-2.5,2.5,0,0,0.0,0.0,0.0,17.835436190543188
1.5,-2.5,2.5,0,0,0.0,0.0,0.0,34.95831133656863
2.0,-2.5,2.5,0,0,0.0,0.0,0.0,52.3222913605886
2.5,-2.5,2.5,0,0,0.0,0.0,0.0,68.05875723745581
3.0,-2.5,2.5,0,0,0.0,0.0,0.0,83.95470804222977
3.5,-2.5,2.5,0,0,0.0,0.0,0.0,99.55093634992919
4.0,-2.5,2.5,0,0,0.0,0.0,0.0,114.90904804246597
4.5,-2.5,2.5,0,0,0.0,0.0,0.0,133.53465894378277
5.0,-2.5,2.5,0,0,0.0,0.0,0.0,173.79736825823292
5.5,-2.5,2.5,0,0,0.0,0.0,0.0,221.41034783067508
-5.5,-2.0,2.5,0,0,0.0,0.0,0.0,221.09581212696716
